FF-10,LP-10,FF-20,LP-20,FF-30,LP-30,FF-40,LP-40,
4,,4,,5,,4,,
0,,0,,0,,0,,
0,,0,,0,,0,,
17,,18,,22,,19,,
17,,16,,21,,17,,
25,,25,,27,,27,,
14,,13,,14,,14,,
3,,3,,3,,3,,
7,,7,,8,,7,,
3,,3,,3,,3,,
27,,27,,28,,28,,
9,,9,,9,,9,,
28,,28,,31,,29,,
1,,1,,1,,1,,
15,,14,,16,,15,,
9,,9,,9,,9,,
2,,2,,2,,2,,
6,,6,,7,,6,,
16,,16,,19,,17,,
7,,7,,9,,7,,
6,,5,,8,,6,,
0,,0,,1,,1,,
0,,0,,1,,0,,
4,,4,,5,,4,,
1,,1,,1,,1,,
12,,11,,14,,12,,
3,,3,,4,,3,,
10,,8,,12,,9,,
9,,8,,11,,8,,
21,,19,,25,,20,,
1,,1,,2,,1,,
5,,4,,5,,4,,
5,,5,,5,,5,,
9,,9,,11,,10,,
6,,6,,7,,6,,
1,,1,,2,,1,,
6,,6,,7,,6,,
3,,3,,3,,3,,
3,,3,,4,,3,,
10,,10,,13,,10,,
12,,11,,14,,12,,
2,,2,,3,,2,,
13,,14,,16,,14,,
3,,4,,4,,4,,
19,,19,,20,,19,,
7,,6,,8,,7,,
8,,8,,8,,8,,
26,,25,,26,,26,,
12,,12,,13,,14,,
12,,11,,13,,12,,
4,,4,,4,,4,,
0,,0,,0,,0,,
0,,0,,0,,0,,
17,,18,,20,,19,,
17,,16,,17,,17,,
25,,24,,27,,26,,
14,,13,,14,,14,,
3,,3,,3,,3,,
7,,7,,7,,7,,
3,,3,,3,,3,,
27,,27,,28,,28,,
9,,9,,9,,9,,
28,,29,,31,,28,,
1,,1,,1,,1,,
15,,14,,14,,14,,
10,,9,,9,,9,,
2,,2,,2,,2,,
6,,6,,6,,6,,
16,,16,,17,,17,,
7,,7,,7,,7,,
5,,5,,6,,5,,
0,,0,,0,,0,,
0,,0,,0,,0,,
4,,4,,4,,4,,
1,,1,,1,,1,,
11,,11,,11,,11,,
3,,3,,3,,3,,
9,,9,,9,,9,,
8,,8,,9,,9,,
19,,19,,20,,20,,
1,,1,,1,,1,,
4,,4,,4,,4,,
5,,5,,5,,5,,
9,,9,,10,,9,,
6,,6,,6,,6,,
1,,1,,2,,1,,
6,,6,,6,,6,,
3,,3,,3,,3,,
3,,3,,3,,3,,
10,,10,,11,,10,,
12,,12,,12,,12,,
2,,2,,3,,2,,
14,,13,,14,,14,,
4,,3,,4,,4,,
19,,18,,20,,19,,
7,,6,,7,,7,,
8,,8,,9,,8,,
25,,25,,27,,26,,
12,,12,,12,,12,,
12,,12,,12,,12,,
4,,4,,4,,4,,
0,,0,,0,,0,,
0,,0,,0,,0,,
